time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.endpoint_state.header.seq,.endpoint_state.header.stamp.secs,.endpoint_state.header.stamp.nsecs,.endpoint_state.header.frame_id,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.endpoint_state.twist.linear.x,.endpoint_state.twist.linear.y,.endpoint_state.twist.linear.z,.endpoint_state.twist.angular.x,.endpoint_state.twist.angular.y,.endpoint_state.twist.angular.z,.endpoint_state.wrench.force.x,.endpoint_state.wrench.force.y,.endpoint_state.wrench.force.z,.endpoint_state.wrench.torque.x,.endpoint_state.wrench.torque.y,.endpoint_state.wrench.torque.z,.joint_state.header.seq,.joint_state.header.stamp.secs,.joint_state.header.stamp.nsecs,.joint_state.header.frame_id,.joint_state.name,.joint_state.position,.joint_state.velocity,.joint_state.effort,.wrench_stamped.header.seq,.wrench_stamped.header.stamp.secs,.wrench_stamped.header.stamp.nsecs,.wrench_stamped.header.frame_id,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z,.tag
2017/07/13/01:26:17.355154,498521,1499880381,618504917,,5440897,1499880381,618504917,,0.74116114037,-0.871479544104,0.32928063332,0.0984064120046,0.942492071967,-0.215969014118,0.23533435214,-0.000503601113537,-0.0010346807374,-0.00497736386047,-0.00637534044496,0.00666341027913,-0.00920014899368,-5.37508058548,3.31665682793,3.65074253082,-0.72932434082,-2.12881779671,0.910539388657,5441242,1499880381,616581180,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07094661143970038, -0.002684466378799474, 0.7547185476396235, 0.0019174759848567672, -0.5476311412750927, 0.004985437560627594, 1.2559467700811826, -0.0015339807878854137, -0.9725438195193523, 1.0837574266410448, 0.590199108138913, -0.8482913757006338, 0.6983447536848346, 0.953752554867756, -0.839854481367264, -12.565987119160338)","(0.0, -0.0035342917346255468, 0.014922565101752308, 0.01021017612225158, -0.001570796326500243, -0.011780972448751823, -0.0019634954081253035, -0.006675884387626033, -0.01060287520387664, -0.012566370612001944, 0.00510508806112579, 0.010995574285501701, 0.011780972448751823, 0.0, -0.009032078877376396, 0.008639379795751335, 0.0)","(0.0, 0.0, -0.54, -14.676, 0.592, -23.472, 0.104, 0.0, -0.184, -11.156, -15.18, -0.28, -27.496, 0.668, -2.328, 0.12, -20.48)",553011,1499880377,351302952,robotiq_force_torque_frame_id,5.65000009537,-2.53999996185,16.2999992371,-0.116999998689,-0.00800000037998,-0.0370000004768,0
2017/07/13/01:26:17.364851,498522,1499880381,628503903,,5440898,1499880381,628503903,,0.74134267554,-0.870930101278,0.32786361255,0.0984434841277,0.942765350804,-0.215195192829,0.234932762169,-0.02038950699,-0.0163242259377,-0.00976092713494,-0.000239148831085,0.0154011587026,-0.0361860909221,-5.25089740753,3.54888486862,3.57399988174,-0.858043551445,-2.08378648758,0.787569522858,2151820,1499880381,624999936,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",553012,1499880377,359494470,robotiq_force_torque_frame_id,5.57999992371,-2.72000002861,16.4699993134,-0.115000002086,-0.00899999961257,-0.0250000003725,0
2017/07/13/01:26:17.376745,498523,1499880381,638503747,,5440899,1499880381,638503747,,0.741551876047,-0.871635014907,0.32928857937,0.0984627228552,0.942368212953,-0.216009406428,0.235769335918,0.00417800928012,0.0120167849758,-0.007519870165,0.0234708787978,-0.000303215660923,0.00441399567776,-5.24554824829,3.28113269806,3.59641885757,-0.765774488449,-2.10371923447,0.882479786873,2151821,1499880381,635000064,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)",553013,1499880377,371768082,robotiq_force_torque_frame_id,6.01999998093,-2.25,16.4699993134,-0.115000002086,-0.0109999999404,-0.0109999999404,0
2017/07/13/01:26:17.385481,498524,1499880381,648511064,,5440900,1499880381,648511064,,0.740970999741,-0.871513655477,0.328416885744,0.0986342856243,0.942620529124,-0.215752147065,0.234923023159,0.00149321233892,0.00260093003037,-0.0065122475092,-0.00477534367545,0.0241577607281,0.0223241619369,-5.03153657913,3.28011798859,3.53976964951,-0.800514221191,-2.04112625122,0.812342882156,5441245,1499880381,646599716,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07017962104575767, -0.002684466378799474, 0.7539515572456809, 0.0023009711818281204, -0.5472476460781214, 0.004218447166684887, 1.2567137604751253, -0.0019174759848567672, -0.9729273147163237, 1.0841409218380162, 0.590199108138913, -0.8471408901097197, 0.6991117440787773, 0.953752554867756, -0.839854481367264, -12.565987119160338)","(0.0, 0.0, 0.00510508806112579, -0.01060287520387664, 0.0, 0.00510508806112579, -0.009424777959001457, 0.008639379795751335, -0.003926990816250607, 0.0027488935713754254, -0.01021017612225158, -0.0007853981632501215, 0.011780972448751823, -0.0047123889795007284, 0.009817477040626518, -0.018064157754752792, 0.0)","(0.0, 0.0, -0.54, -14.676, 0.56, -23.436, 0.104, 0.016, -0.204, -11.156, -15.208, -0.184, -27.372, 0.66, -2.376, 0.12, -20.48)",553014,1499880377,379982316,robotiq_force_torque_frame_id,6.32999992371,-2.43000006676,16.5799999237,-0.122000001371,-0.00499999988824,-0.00600000005215,0
2017/07/13/01:26:17.395243,498525,1499880381,658511908,,5440901,1499880381,658511908,,0.741012795201,-0.871493163938,0.329054222438,0.097982368493,0.942610573155,-0.215981548786,0.235024963407,-0.00661309624425,0.00347952027775,-0.0133703844437,0.0161518133072,0.0239719695848,0.00266757879305,-5.27781200409,3.35815882683,3.55264759064,-0.83433753252,-2.12018084526,0.810147643089,5441246,1499880381,656598232,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07094661143970038, -0.0023009711818281204, 0.7543350524426522, 0.0015339807878854137, -0.5472476460781214, 0.004601942363656241, 1.2555632748842112, -0.0015339807878854137, -0.9729273147163237, 1.0837574266410448, 0.590199108138913, -0.8479078805036625, 0.698728248881806, 0.9541360500647273, -0.8410049669581781, -12.565987119160338)","(0.0, 0.0011780972448751821, -0.008246680714126275, -0.001570796326500243, 0.0, -0.005497787142750851, -0.012959069693627005, -0.022383847652628464, -0.0027488935713754254, -0.003926990816250607, 0.006675884387626033, 0.0, 0.01060287520387664, 0.003141592653000486, 0.01649336142825255, -0.009032078877376396, 0.0)","(0.0, 0.0, -0.508, -14.676, 0.56, -23.472, 0.104, 0.016, -0.184, -11.248, -15.18, -0.28, -27.436, 0.668, -2.392, 0.14, -20.48)",553015,1499880377,392228309,robotiq_force_torque_frame_id,6.92999982834,-1.87999999523,16.6399993896,-0.123000003397,-0.00200000009499,-0.0260000005364,0
2017/07/13/01:26:17.404997,498526,1499880381,668503570,,5440902,1499880381,668503570,,0.741922057815,-0.870756873548,0.329053660877,0.0981773328572,0.942534436437,-0.215524278946,0.235667843856,-0.0103795956355,-0.00566619074489,0.000984223854652,0.00741536824302,-0.00164023549125,-0.0159775778677,-5.10300350189,3.06087088585,3.51247477531,-0.716809630394,-2.10441803932,0.916181206703,5441247,1499880381,666598474,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07056311624272903, -0.0023009711818281204, 0.7543350524426522, 0.0019174759848567672, -0.5472476460781214, 0.004601942363656241, 1.2563302652781538, -0.0015339807878854137, -0.9725438195193523, 1.0837574266410448, 0.5909660985328556, -0.8479078805036625, 0.6994952392757486, 0.953752554867756, -0.839854481367264, -12.565987119160338)","(0.0, 0.009424777959001457, -0.009424777959001457, 0.011388273367126762, 0.0019634954081253035, 0.005890486224375911, 0.008639379795751335, -0.008246680714126275, 0.015707963265002428, -0.003926990816250607, 0.009424777959001457, -0.007853981632501214, -0.007853981632501214, 0.0007853981632501215, 0.0047123889795007284, 0.0007853981632501215, 0.0)","(0.0, 0.0, -0.444, -14.708, 0.56, -23.404, 0.092, 0.0, -0.184, -11.092, -15.208, -0.28, -27.404, 0.668, -2.384, 0.112, -20.48)",553016,1499880377,400414790,robotiq_force_torque_frame_id,5.90000009537,-0.419999986887,16.3700008392,-0.120999999344,-0.00400000018999,-0.0590000003576,0
2017/07/13/01:26:17.414995,498527,1499880381,678508526,,5440903,1499880381,678508526,,0.741604897346,-0.871081021061,0.328660220732,0.0980442613762,0.942621994546,-0.215534956063,0.235363083182,0.0166359271133,0.0130163021275,0.0048568945217,0.00264751486471,-0.0156500480778,0.0269319779017,-5.22660970688,3.18710017204,3.52686071396,-0.746014773846,-2.11904859543,0.906118750572,2151822,1499880381,676000000,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",553017,1499880377,412646534,robotiq_force_torque_frame_id,5.59000015259,-0.20000000298,16.1800003052,-0.125,-0.00899999961257,-0.0509999990463,0
2017/07/13/01:26:17.424883,498528,1499880381,688507799,,5440904,1499880381,688507799,,0.740923489421,-0.871864385694,0.328932514239,0.0989801548473,0.942475514298,-0.215595082173,0.235502854418,0.00195016570729,-0.0112640406355,0.0151282517195,-0.0194864787628,-0.0153656380042,-0.010948336764,-4.96508979797,2.89169812202,3.56144523621,-0.63679933548,-2.01361870766,0.888971924782,2151823,1499880381,684999936,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)",553018,1499880377,420825855,robotiq_force_torque_frame_id,5.65000009537,-0.280000001192,16.2399997711,-0.118000000715,-0.01600000076,-0.0379999987781,0
2017/07/13/01:26:17.435971,498529,1499880381,698514353,,5440905,1499880381,698514353,,0.741464067765,-0.871220546623,0.328798425072,0.0982816226247,0.942583297534,-0.215510182688,0.235441735941,0.0103892422234,0.0128632493619,-0.0138600594634,0.0134060925444,0.00649670769533,0.0185122944662,-5.0183300972,2.97024917603,3.50198292732,-0.68014472723,-2.04717588425,0.899161159992,5441250,1499880381,696579816,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.06979612584878632, -0.0023009711818281204, 0.7539515572456809, 0.0023009711818281204, -0.5472476460781214, 0.004601942363656241, 1.2567137604751253, -0.0015339807878854137, -0.9717768291254096, 1.0837574266410448, 0.5898156129419416, -0.8479078805036625, 0.6991117440787773, 0.953752554867756, -0.8402379765642354, -12.565987119160338)","(0.0, 0.0007853981632501215, 0.01688606050987761, -0.01060287520387664, -0.00510508806112579, -0.005497787142750851, 0.0047123889795007284, 0.008639379795751335, -0.0070685834692510935, 0.014922565101752308, 0.006675884387626033, 0.008246680714126275, 0.009817477040626518, 0.004319689897875668, -0.004319689897875668, -0.003926990816250607, 0.0)","(0.0, 0.0, -0.38, -14.676, 0.56, -23.436, 0.084, -0.016, -0.196, -11.092, -15.18, -0.308, -27.344, 0.652, -2.356, 0.112, -20.48)",553018,1499880377,420825855,robotiq_force_torque_frame_id,5.65000009537,-0.280000001192,16.2399997711,-0.118000000715,-0.01600000076,-0.0379999987781,0
2017/07/13/01:26:17.445177,498530,1499880381,708507905,,5440906,1499880381,708507905,,0.741106720844,-0.871577793064,0.32906949366,0.0984789232031,0.94248970631,-0.215843039855,0.235429049461,-6.78598965079e-05,-0.000860382736798,-0.015058016606,-0.01696029456,0.0345193262475,0.0199322508508,-5.30278682709,3.55678200722,3.66295909882,-0.82284963131,-2.08340096474,0.816749453545,5441251,1499880381,706598312,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.07017962104575767, -0.002684466378799474, 0.7547185476396235, 0.0015339807878854137, -0.5476311412750927, 0.004601942363656241, 1.2555632748842112, -0.0015339807878854137, -0.972160324322381, 1.0841409218380162, 0.5898156129419416, -0.8482913757006338, 0.698728248881806, 0.9533690596707847, -0.8402379765642354, -12.565987119160338)","(0.0, -0.005890486224375911, -0.023561944897503646, 0.0047123889795007284, -0.012959069693627005, -0.0047123889795007284, 0.008246680714126275, 0.01060287520387664, -0.004319689897875668, 0.01727875959150267, 0.003926990816250607, -0.0011780972448751821, 0.014529866020127248, -0.02591813938725401, -0.01610066234662749, -0.01610066234662749, 0.0)","(0.0, 0.0, -0.54, -14.676, 0.592, -23.404, 0.092, 0.008, -0.196, -11.184, -15.208, -0.152, -27.464, 0.684, -2.328, 0.12, -20.48)",553020,1499880377,441315878,robotiq_force_torque_frame_id,6.63000011444,-1.38999998569,16.3999996185,-0.109999999404,-0.0109999999404,-0.0359999984503,0
