time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.endpoint_state.header.seq,.endpoint_state.header.stamp.secs,.endpoint_state.header.stamp.nsecs,.endpoint_state.header.frame_id,.endpoint_state.pose.position.x,.endpoint_state.pose.position.y,.endpoint_state.pose.position.z,.endpoint_state.pose.orientation.x,.endpoint_state.pose.orientation.y,.endpoint_state.pose.orientation.z,.endpoint_state.pose.orientation.w,.endpoint_state.twist.linear.x,.endpoint_state.twist.linear.y,.endpoint_state.twist.linear.z,.endpoint_state.twist.angular.x,.endpoint_state.twist.angular.y,.endpoint_state.twist.angular.z,.endpoint_state.wrench.force.x,.endpoint_state.wrench.force.y,.endpoint_state.wrench.force.z,.endpoint_state.wrench.torque.x,.endpoint_state.wrench.torque.y,.endpoint_state.wrench.torque.z,.joint_state.header.seq,.joint_state.header.stamp.secs,.joint_state.header.stamp.nsecs,.joint_state.header.frame_id,.joint_state.name,.joint_state.position,.joint_state.velocity,.joint_state.effort,.wrench_stamped.header.seq,.wrench_stamped.header.stamp.secs,.wrench_stamped.header.stamp.nsecs,.wrench_stamped.header.frame_id,.wrench_stamped.wrench.force.x,.wrench_stamped.wrench.force.y,.wrench_stamped.wrench.force.z,.wrench_stamped.wrench.torque.x,.wrench_stamped.wrench.torque.y,.wrench_stamped.wrench.torque.z,.tag
2017/07/04/19:12:55.824820,3818,1499166775,825477354,,1373269,1499166775,825477354,,0.775579912367,0.0264847195268,0.104535637645,-0.0678115505049,0.997562397313,0.0136933139806,-0.00912963517142,0.00745358169497,0.0104152013094,0.00694686457796,0.0165904380269,-0.0243146805391,0.00946500066518,8.27334117889,5.35530281067,4.07639026642,-1.68790304661,3.35468626022,0.231799066067,1373662,1499166775,823545049,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.03029612056073692, -1.1332283070503495, 1.9328157927356213, -0.038733014894106695, -0.9664078963678107, 0.6477233876846159, 1.0066748920498028, -0.4843544337748194, 0.48703890015361884, 0.7815632114276183, 0.9437816797465008, -0.5951845456995405, -0.3670049035015852, 1.4595827196729712, 0.3608689803500436, -12.565987119160338)","(0.0, -0.0019634954081253035, 0.02042035224450316, 0.0011780972448751821, 0.012173671530376884, -0.018064157754752792, -0.006675884387626033, -0.014922565101752308, -0.003926990816250607, 0.0019634954081253035, -0.006283185306000972, 0.005890486224375911, -0.006675884387626033, 0.003926990816250607, -0.01649336142825255, -0.005890486224375911, 0.0)","(0.0, 0.0, -9.964, -9.76, -0.124, -10.344, 0.172, 0.144, 0.1, 7.892, -15.224, 1.368, -28.332, 0.172, 0.184, 0.072, -20.48)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.830704,3819,1499166775,825477354,,1373269,1499166775,825477354,,0.775579912367,0.0264847195268,0.104535637645,-0.0678115505049,0.997562397313,0.0136933139806,-0.00912963517142,0.00745358169497,0.0104152013094,0.00694686457796,0.0165904380269,-0.0243146805391,0.00946500066518,8.27334117889,5.35530281067,4.07639026642,-1.68790304661,3.35468626022,0.231799066067,1373662,1499166775,823545049,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.03029612056073692, -1.1332283070503495, 1.9328157927356213, -0.038733014894106695, -0.9664078963678107, 0.6477233876846159, 1.0066748920498028, -0.4843544337748194, 0.48703890015361884, 0.7815632114276183, 0.9437816797465008, -0.5951845456995405, -0.3670049035015852, 1.4595827196729712, 0.3608689803500436, -12.565987119160338)","(0.0, -0.0019634954081253035, 0.02042035224450316, 0.0011780972448751821, 0.012173671530376884, -0.018064157754752792, -0.006675884387626033, -0.014922565101752308, -0.003926990816250607, 0.0019634954081253035, -0.006283185306000972, 0.005890486224375911, -0.006675884387626033, 0.003926990816250607, -0.01649336142825255, -0.005890486224375911, 0.0)","(0.0, 0.0, -9.964, -9.76, -0.124, -10.344, 0.172, 0.144, 0.1, 7.892, -15.224, 1.368, -28.332, 0.172, 0.184, 0.072, -20.48)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.840490,3820,1499166775,835485392,,1373270,1499166775,835485392,,0.77539053446,0.0257911200857,0.103958055889,-0.0672902567307,0.997600208261,0.0132101989109,-0.00955701159539,-0.00675503907662,0.0196871838897,0.00997163664528,0.0160351047537,0.00154453575941,0.0269502822086,8.78064823151,5.58526515961,4.00528383255,-1.80464875698,3.54741406441,0.230651468039,1373663,1499166775,833523587,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.03106311095467963, -1.1324613166564066, 1.9331992879325928, -0.039883500485020755, -0.9664078963678107, 0.6473398924876446, 1.0062913968528313, -0.4843544337748194, 0.4866554049566475, 0.782330201821561, 0.9433981845495295, -0.5948010505025692, -0.3673883986985566, 1.4595827196729712, 0.3616359707439863, -12.565987119160338)","(0.0, 0.013744467856877126, 0.0, 0.011780972448751823, 0.02552544030562895, 0.007461282550876154, -0.005497787142750851, -0.01688606050987761, 0.0027488935713754254, 0.003141592653000486, -0.0070685834692510935, 0.018849555918002914, -0.01021017612225158, 0.01610066234662749, 0.010995574285501701, -0.01060287520387664, 0.0)","(0.0, 0.0, -9.9, -9.824, -0.092, -10.376, 0.144, 0.156, 0.092, 7.828, -15.224, 1.4, -28.244, 0.164, 0.196, 0.072, -20.48)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.850595,3821,1499166775,845475406,,1373271,1499166775,845475406,,0.775851995841,0.0263459473568,0.104384610831,-0.0679645941324,0.997564503686,0.0130899514098,-0.00863296604802,-0.00860433119089,-0.0137691581514,-0.0152435917334,-0.0183655280138,0.0312387391936,-0.0215289056276,8.89369869232,5.77264881134,4.07683134079,-1.86493766308,3.59079098701,0.231318697333,543004,1499166775,844999936,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.860571,3822,1499166775,855468306,,1373272,1499166775,855468306,,0.775614436803,0.0260721573781,0.103951170894,-0.0676888978556,0.997577432887,0.0131962971956,-0.00912886865087,0.011953097524,-0.0238610401397,0.00208245383672,-0.0247392887401,-0.0140855075629,-0.0209426830387,8.71503543854,5.69161748886,3.97907781601,-1.80428469181,3.50870347023,0.242255836725,543005,1499166775,862000128,,['l_gripper_l_finger_joint'],"(0.02083,)","(0.0,)","(0.0,)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.870540,3823,1499166775,865477908,,1373273,1499166775,865477908,,0.775638378649,0.0266885379701,0.104539839647,-0.0677865014367,0.997561461363,0.0139461105505,-0.00903476766095,-0.00132287020153,0.0202704731413,0.00957058951709,0.0279386734728,-0.00700709140383,0.00374010080171,8.86012458801,5.73797750473,4.00929880142,-1.87714016438,3.56748628616,0.238011196256,1373666,1499166775,863545828,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.030679615757708275, -1.1336118022473207, 1.9328157927356213, -0.03911651009107805, -0.966791391564782, 0.6481068828815874, 1.0070583872467742, -0.48320394818390533, 0.48703890015361884, 0.7815632114276183, 0.9437816797465008, -0.5951845456995405, -0.36662140830461387, 1.459199224476, 0.3608689803500436, -12.565987119160338)","(0.0, -0.0023561944897503642, -0.023954643979128706, -0.00039269908162506076, 0.009817477040626518, 0.012959069693627005, 0.0011780972448751821, 0.01060287520387664, 0.01767145867312773, 0.0047123889795007284, -0.009032078877376396, 0.012566370612001944, -0.008246680714126275, 0.02081305132612822, -0.0023561944897503642, 0.005497787142750851, 0.0)","(0.0, 0.0, -9.932, -9.728, -0.028, -10.376, 0.172, 0.136, 0.092, 7.828, -15.224, 1.496, -28.244, 0.172, 0.184, 0.064, -20.48)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.880840,3824,1499166775,875477534,,1373274,1499166775,875477534,,0.775978802559,0.0254947369791,0.104342982352,-0.0672411151611,0.997609284912,0.0132055124024,-0.00894212122354,0.00183400208809,0.0137768765777,0.00858759951029,0.0372091449077,-0.00316913484993,0.00857940737581,8.95644569397,5.67736768723,3.9889690876,-1.78340160847,3.60921883583,0.256103813648,1373667,1499166775,873521975,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.03106311095467963, -1.1336118022473207, 1.9324322975386499, -0.0395000052880494, -0.9660244011708393, 0.6481068828815874, 1.0070583872467742, -0.48358744338087667, 0.4866554049566475, 0.7819467066245896, 0.943014689352558, -0.5951845456995405, -0.36777189389552795, 1.459199224476, 0.36125247554701495, -12.565987119160338)","(0.0, 0.003926990816250607, -0.0011780972448751821, 0.01060287520387664, -0.008639379795751335, -0.0023561944897503642, 0.005890486224375911, -0.0011780972448751821, 0.009817477040626518, 0.006675884387626033, -0.014529866020127248, -0.001570796326500243, -0.0035342917346255468, 0.027881634795379313, -0.001570796326500243, -0.01531526418337737, 0.0)","(0.0, 0.0, -9.964, -9.728, -0.06, -10.344, 0.164, 0.164, 0.064, 7.924, -15.252, 1.432, -28.212, 0.172, 0.164, 0.056, -20.48)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.890691,3825,1499166775,885478556,,1373275,1499166775,885478556,,0.775690463939,0.025681959882,0.103952575146,-0.0675497717758,0.997585500234,0.0131562470519,-0.00933333909045,-0.000532773748507,-0.0193139821663,-0.016875141632,-0.0458271852334,0.00627356664286,0.00574937509957,8.85277843475,5.68918895721,3.99424338341,-1.83065569401,3.5706577301,0.238570958376,1373668,1499166775,883523666,,"['head_nod', 'head_pan', 'left_e0', 'left_e1', 'left_s0', 'left_s1', 'left_w0', 'left_w1', 'left_w2', 'right_e0', 'right_e1', 'right_s0', 'right_s1', 'right_w0', 'right_w1', 'right_w2', 'torso_t0']","(0.0, -0.03029612056073692, -1.132844811853378, 1.9320488023416786, -0.03911651009107805, -0.9664078963678107, 0.6481068828815874, 1.0062913968528313, -0.48397093857784806, 0.4866554049566475, 0.7815632114276183, 0.9433981845495295, -0.5944175553055978, -0.36777189389552795, 1.4595827196729712, 0.3608689803500436, -12.565987119160338)","(0.0, -0.003926990816250607, 0.01060287520387664, 0.014529866020127248, -0.019634954081253035, 0.018849555918002914, 0.0019634954081253035, -0.00510508806112579, -0.009817477040626518, -0.010995574285501701, 0.01021017612225158, 0.0007853981632501215, 0.01688606050987761, -0.034950218264630406, -0.0007853981632501215, -0.003141592653000486, 0.0)","(0.0, 0.0, -9.996, -9.76, -0.124, -10.376, 0.136, 0.176, 0.092, 7.86, -15.224, 1.464, -28.244, 0.172, 0.184, 0.064, -20.48)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.900673,3826,1499166775,895469232,,1373276,1499166775,895469232,,0.775337809256,0.0262571115254,0.103923147569,-0.0678599812031,0.997562357589,0.013226320772,-0.00945674947114,-0.00429426982631,-0.0055834321778,-0.00427604734151,-0.0259667622606,0.00625714197758,0.0131677587423,8.90981578827,5.73875141144,4.01441144943,-1.8083845377,3.58693528175,0.242222413421,543006,1499166775,895000064,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
2017/07/04/19:12:55.910447,3827,1499166775,905477345,,1373277,1499166775,905477345,,0.775506197035,0.0263836485725,0.104139544536,-0.0675160052207,0.997583935415,0.0135115587685,-0.0092368079048,-0.00817303240197,0.0115240172803,-0.0166420570732,0.0227024302033,0.0200178474278,0.00418712065023,8.64112567902,5.4854016304,3.97883701324,-1.75345528126,3.4685690403,0.260970383883,543006,1499166775,895000064,,['r_gripper_l_finger_joint'],"(0.020014470744132998,)","(0.0,)","(0.0,)",0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0
